isin,exclude
CA43741D1050,1
CA43758P1080,1
CA4381261045,1
CA44053J4090,1
CA44702L2012,1
CA44861U4063,1
CA44888L1085,1
CA44916D1024,1
CA44916F1071,1
CA45074T1021,1
CA45074U1093,1
CA45083C1086,1
CA4509591018,1
CA45168X1006,1
CA45250P1062,1
CA45250Q1046,1
CA45258G1081,1
CA45674Q1028,1
CA45675H1010,1
CA4569421015,1
CA4577022078,1
CA4578001006,1
CA45782J1075,1
CA45790Y1043,1
CA45828F1018,1
CA45829L1076,1
CA4591211095,1
CA45968V1067,1
CA4598201065,1
CA45986N2014,1
CA4605821095,1
CA4612172003,1
CA46123W2031,1
CA46125M1041,1
CA46125T1093,1
CA46136U1030,1
CA46187N1078,1
CA46187R1082,1
CA46604F1099,1
CA4663913073,1
CA46653U1066,1
CA47208P1053,1
CA4779161005,1
CA47817E1034,1
CA4798612053,1
CA4826272052,1
CA48344L1076,1
CA48669F1071,1
CA4925371052,1
CA4947261026,1
CA4957802073,1
CA4967422060,1
CA4987222060,1
CA4989033010,1
CA4998911099,1
CA50067K1003,1
CA50075X1024,1
CA50117M1068,1
CA5013771053,1
CA50205A1057,1
CA50543R1091,1
CA50684B1031,1
CA50732M1014,1
CA5113052032,1
CA51440M1023,1
CA5155041083,1
CA52171T1003,1
CA52475E1060,1
CA52637M1032,1
CA5266821092,1
CA52737K2056,1
CA52978C2013,1
CA53044R8839,1
CA53228D2059,1
CA53229R1047,1
CA53567A1012,1
CA53620R1091,1
CA5362502026,1
CA53630K1021,1
CA5368071000,1
CA53680T1021,1
CA53680V1076,1
CA53680X1033,1
CA53687L2012,1
CA53946V2066,1
CA53951J1066,1
CA54020J1012,1
CA5429191052,1
CA5443122000,1
CA54571C1095,1
CA5475722065,1
CA5503711080,1
CA5504353098,1
CA55377Y1043,1
CA55379R2063,1
CA55401M1005,1
CA55877M1059,1
CA5589221004,1
CA5592712007,1
CA55973N6019,1
CA5609121077,1
CA5609251098,1
CA5625684025,1
CA5626783008,1
CA56389K2074,1
CA5651271077,1
CA5652973069,1
CA56658A4019,1
CA57386R1047,1
CA57532C1005,1
CA5764871029,1
CA57772U3073,1
CA5777561096,1
CA5817631099,1
CA58406U1012,1
CA58471K2020,1
CA58501R1029,1
CA58504D1006,1
CA58516W1041,1
CA58518J2002,1
CA58769H1010,1
CA58933J1084,1
CA5912362038,1
CA59125R1064,1
CA59131A1057,1
CA59131Q2099,1
CA59132M1086,1
CA59140M1086,1
CA59142H1073,1
CA5928192056,1
CA5949781085,1
CA59516M1041,1
CA5997841054,1
CA60041F1018,1
CA60250V1022,1
CA6025321036,1
CA60256C1086,1
CA60283T2074,1
CA60306F1018,1
CA6042501008,1
CA6067671017,1
CA60686A4090,1
CA60916Q1090,1
CA61238K3091,1
CA61531Y1051,1
CA61534D1087,1
CA61692D1069,1
CA6179311007,1
CA61965T1012,1
CA62426E4022,1
CA62430M1014,1
CA6249381063,1
CA62757L2075,1
CA62821U1003,1
CA62848H1082,1
CA62849F2008,1
CA62857Y1097,1
CA62973P1071,1
CA63010P2098,1
CA63942R1091,1
CA64067L1094,1
CA64073L1013,1
CA64082A1049,1
CA6410701073,1
CA64108U1003,1
CA64134L1085,1
CA64134N2032,1
CA6414921032,1
CA64155A1066,1
CA64157G2009,1
CA64374A2002,1
CA6488301079,1
CA64913V6089,1
CA65118M1032,1
CA6513462078,1
CA65151R1001,1
CA6517281078,1
CA65290F1080,1
CA6529371032,1
CA65341P1053,1
CA65343M2094,1
CA65345J2048,1
CA65346A1030,1
CA65347A1021,1
CA65366M1023,1
CA6539521014,1
CA65442J1075,1
CA65443J1066,1
CA65501C1005,1
CA65506N1015,1
CA65510H1082,1
CA65542K1030,1
CA65564N1006,1
CA6614441096,1
CA66516A1057,1
CA6657203064,1
CA66644R1038,1
CA66707K1021,1
CA66707L1004,1
